file	loc_now	diff_plus	diff_minus
sys/conf/files	5431	4	0
sys/dev/iocap/iocap.h	37	37	0
sys/dev/iocap/iocap_keymngr.c	1828	1828	0
sys/dev/iocap/iocap_keymngr.h	170	171	0
sys/dev/iocap/libccap/LIBCCAP_VERSION	1	1	0
sys/dev/iocap/libccap/libccap.c	1659	1659	0
sys/dev/iocap/libccap/libccap.h	375	375	0
sys/dev/iocap/libccap/libccap_bitfields.incl.c	130	130	0
sys/dev/iocap/libccap/libccap_platform.incl.c	65	65	0
sys/dev/virtio/block/virtio_blk.c	1687	16	2
sys/dev/virtio/block/virtio_blk_iocap.c	1780	1780	0
sys/dev/virtio/mmio/virtio_mmio.c	1306	295	15
sys/dev/virtio/mmio/virtio_mmio.h	108	17	0
sys/dev/virtio/pci/virtio_pci.c	1002	4	0
sys/dev/virtio/pci/virtio_pci_legacy.c	777	13	0
sys/dev/virtio/pci/virtio_pci_modern.c	1455	13	0
sys/dev/virtio/virtio.c	394	10	0
sys/dev/virtio/virtio.h	199	8	0
sys/dev/virtio/virtio_bus_if.m	124	9	0
sys/dev/virtio/virtio_config.h	97	9	0
sys/dev/virtio/virtio_ring_iocap.h	66	67	0
sys/dev/virtio/virtqueue.h	110	10	1
sys/dev/virtio/virtqueue_iocap.c	956	956	0
sys/dev/virtio/virtqueue_iocap.h	98	98	0
sys/riscv/conf/GENERIC	207	4	0
sys/riscv/riscv/busdma_bounce.c	949	5	3
sys/riscv/riscv/pmap.c	6220	7	2
sys/x86/x86/busdma_bounce.c	994	12	12
